n,m,k,t,p
100000,1,5,0.01009800,48
100000,1,5,0.01043900,68
100000,1,10,0.05669100,2
100000,1,10,0.07533000,4
100000,1,10,0.04707700,8
100000,1,10,0.04135400,16
100000,1,10,0.02761500,32
100000,1,10,0.02056300,48
100000,1,10,0.01978600,68
100000,10,2,0.01105500,2
100000,10,2,0.01040700,4
100000,10,2,0.00743200,8
100000,10,2,0.00747400,16
100000,10,2,0.00786100,32
100000,10,2,0.00542800,48
100000,10,2,0.00714800,68
100000,10,5,0.04020800,2
100000,10,5,0.05342100,4
100000,10,5,0.02676500,8
100000,10,5,0.02143000,16
100000,10,5,0.01375100,32
100000,10,5,0.00996400,48
100000,10,5,0.01153900,68
100000,10,10,0.07915900,2
100000,10,10,0.08051600,4
100000,10,10,0.05616500,8
100000,10,10,0.04217600,16
100000,10,10,0.02492000,32
100000,10,10,0.02021400,48
100000,10,10,0.02129000,68
100000,1000,2,1.61883400,2
100000,1000,2,0.81171000,4
100000,1000,2,0.40886600,8
100000,1000,2,0.21087000,16
100000,1000,2,0.27753700,32
100000,1000,2,0.36274000,48
100000,1000,2,0.66932300,68
100000,1000,5,6.56451000,2
100000,1000,5,3.27007100,4
100000,1000,5,1.64541300,8
100000,1000,5,0.89608300,16
100000,1000,5,1.04223200,32
100000,1000,5,1.70815400,48
100000,1000,5,2.22890000,68
100000,1000,10,14.79581400,2
100000,1000,10,7.34973400,4
100000,1000,10,3.73417400,8
100000,1000,10,1.93961900,16
100000,1000,10,2.69753300,32
100000,1000,10,4.14096600,48
100000,1000,10,5.45860500,68
100000,5000,2,32.25691300,2
100000,5000,2,16.48941800,4
100000,5000,2,8.14359900,8
100000,5000,2,4.19514200,16
100000,5000,2,6.07750500,32
100000,5000,2,6.08994900,48
100000,5000,2,5.57216800,68
100000,5000,5,145.74298100,2
100000,5000,5,67.62812800,4
100000,5000,5,36.41247000,8
100000,5000,5,19.08052600,16
100000,5000,5,24.83527200,32
100000,5000,5,24.48684800,48
100000,5000,5,24.48684800,68
100000,5000,10,387.66130200,2
100000,5000,10,191.10079100,4
100000,5000,10,97.96370000,8
100000,5000,10,49.67041900,16
100000,5000,10,32.88643500,24
100000,5000,10,22.20271600,32
1000000,1,2,0.06349900,2
1000000,1,2,0.08403700,4
1000000,1,2,0.06678800,8
1000000,1,2,0.06598200,16
1000000,1,2,0.03489400,32
1000000,1,2,0.02198300,48
1000000,1,2,0.02279700,68
1000000,1,5,0.23565100,2
1000000,1,5,0.31405000,4
1000000,1,5,0.20898100,8
1000000,1,5,0.19152300,16
1000000,1,5,0.10960300,32
1000000,1,5,0.07772400,48
1000000,1,5,0.06952400,68
1000000,1,10,0.52353000,2
1000000,1,10,0.73561200,4
1000000,1,10,0.70476400,8
1000000,1,10,0.37013200,16
1000000,1,10,0.22111100,32
1000000,1,10,0.15056500,48
1000000,1,10,0.14972500,68
1000000,10,2,0.09069100,2
1000000,10,2,0.08706600,4
1000000,10,2,0.08362300,8
1000000,10,2,0.04963500,16
1000000,10,2,0.03238400,32
1000000,10,2,0.02582800,48
1000000,10,2,0.02569900,68
1000000,10,5,0.34420700,2
1000000,10,5,0.33895300,4
1000000,10,5,0.24378000,8
1000000,10,5,0.19065800,16
1000000,10,5,0.09842400,32
1000000,10,5,0.08364700,48
1000000,10,5,0.07980700,68
1000000,10,10,0.76989900,2
1000000,10,10,0.76843900,4
1000000,10,10,0.72715000,8
1000000,10,10,0.41082500,16
1000000,10,10,0.23510600,32
1000000,10,10,0.16915100,48
1000000,10,10,0.17001800,68
1000000,1000,2,25.47255200,2
1000000,1000,2,12.58384500,4
1000000,1000,2,6.64055100,8
1000000,1000,2,3.35660700,16
1000000,1000,2,4.30434000,32
1000000,1000,2,6.01541500,48
1000000,1000,2,7.70751800,68
1000000,1000,5,105.20903500,2
1000000,1000,5,52.05930800,4
