n,m,k,t,p
100000,5000,5,7.29781400,8
100000,5000,5,3.84859800,16
100000,5000,5,4.07324500,24
100000,5000,5,3.76446900,32
100000,5000,10,59.22948800,2
100000,5000,10,30.87462800,4
100000,5000,10,16.67510000,8
100000,5000,10,8.65601000,16
100000,5000,10,9.39458300,24
100000,5000,10,8.54669400,32
1000000,1,2,0.03424300,2
1000000,1,2,0.03256400,4
1000000,1,2,0.04033100,8
1000000,1,2,0.02845600,16
1000000,1,2,0.02266500,24
1000000,1,2,0.01760500,32
1000000,1,5,0.20510800,2
1000000,1,5,0.21177100,4
1000000,1,5,0.17243600,8
1000000,1,5,0.14321400,16
1000000,1,5,0.08184300,24
1000000,1,5,0.05661000,32
1000000,1,10,0.50190300,2
1000000,1,10,0.51254500,4
1000000,1,10,0.26427300,8
1000000,1,10,0.27438400,16
1000000,1,10,0.17730600,24
1000000,1,10,0.12397400,32
1000000,10,2,0.05874900,2
1000000,10,2,0.04116800,4
1000000,10,2,0.05794700,8
1000000,10,2,0.03385800,16
1000000,10,2,0.02123300,24
1000000,10,2,0.02164000,32
1000000,10,5,0.21384500,2
1000000,10,5,0.15980800,4
1000000,10,5,0.18035700,8
1000000,10,5,0.11315300,16
1000000,10,5,0.10799000,24
1000000,10,5,0.07163800,32
1000000,10,10,0.53490900,2
1000000,10,10,0.43576300,4
1000000,10,10,0.52487400,8
1000000,10,10,0.25390400,16
1000000,10,10,0.19569000,24
1000000,10,10,0.14162900,32
1000000,1000,2,1.86226700,2
1000000,1000,2,0.97370200,4
1000000,1000,2,0.59381900,8
1000000,1000,2,0.33427400,16
1000000,1000,2,0.52190300,24
1000000,1000,2,1.39628200,32
1000000,1000,5,8.53248400,2
1000000,1000,2,1.85670000,2
1000000,1000,2,0.96996300,4
1000000,1000,2,0.60488000,8
1000000,1000,2,0.40501200,16
1000000,1000,2,0.53619600,24
1000000,1000,2,1.50547500,32
1000000,1000,5,8.50039900,2
1000000,1000,5,4.43658800,4
1000000,1000,5,2.42353000,8
1000000,1000,5,1.33569700,16
1000000,1000,5,2.47981000,24
1000000,1000,5,6.19460800,32
1000000,1000,10,22.05850500,2
1000000,1000,10,11.50938500,4
1000000,1000,10,6.56862300,8
1000000,1000,10,3.48615000,16
1000000,1000,10,5.98833000,24
1000000,1000,10,14.63669500,32
1000000,5000,2,86.06418700,2
1000000,5000,2,44.67133200,4
1000000,5000,2,23.99554900,8
1000000,5000,2,12.36859800,16
1000000,5000,2,11.89275500,24
1000000,5000,2,11.48393800,32
1000000,5000,5,347.18754800,2
1000000,5000,5,180.26739800,4
1000000,5000,5,96.70487900,8
1000000,5000,5,49.73507400,16
1000000,5000,5,48.66705600,24
1000,1,2,0.00,1
1000,1,5,0.01,1
1000,1,10,0.02,1
1000,10,2,0.00,1
1000,10,5,0.01,1
1000,10,10,0.02,1
1000,1000,2,0.06,1
1000,1000,5,0.24,1
1000,1000,10,0.55,1
1000,5000,2,0.35,1
1000,5000,5,1.41,1
1000,5000,10,3.15,1
10000,1,2,0.02,1
10000,1,5,0.07,1
10000,1,10,0.15,1
10000,10,2,0.02,1
10000,10,5,0.09,1
10000,10,10,0.20,1
10000,1000,2,0.63,1
10000,1000,5,2.60,1
10000,1000,10,6.08,1
10000,5000,2,3.89,1
10000,5000,5,15.48,1
10000,5000,10,34.62,1
100000,1,2,0.17,1
100000,1,5,0.67,1
100000,1,10,1.53,1
100000,10,2,0.22,1
100000,10,5,0.88,1
100000,10,10,1.97,1
100000,1000,2,6.79,1
100000,1000,5,27.84,1
100000,1000,10,64.37,1
100000,5000,2,40.03,1
100000,5000,5,160.06,1
100000,5000,10,361.39,1
1000000,1,2,1.73,1
1000000,1,5,6.77,1
1000000,1,10,15.10,1
1000000,10,2,2.27,1
1000000,10,5,8.79,1
1000000,10,10,19.80,1
1000000,1000,2,68.06,1
1000000,1000,2,69.79,1
1000000,1000,5,278.49,1
1000000,1000,10,626.11,1
1000000,5000,2,427.62,1
